150万,单价15354元/平米,南向三房出售 户型方正 采光好,番禺人民医院宿舍 , | 3室1厅 | 97.7平米 | 南 | 简装 | 无电梯,高楼层(共9层)1995年建塔楼  -  ,1695人关注 / 共7次带看 / 3个月以前发布,
218万,单价29067元/平米,丽江花园华林居 2室1厅 218万,丽江花园华林居 , | 2室1厅 | 75平米 | 西北 | 其他 | 无电梯,中楼层(共6层)1997年建塔楼  -  ,4人关注 / 共13次带看 / 3天以前发布,
210万,单价26718元/平米,鸿城花园 精致两房 南向高楼层,鸿城花园 , | 2室2厅 | 78.6平米 | 西南 | 其他 | 有电梯,高楼层(共28层)2000年建塔楼  -  ,91人关注 / 共18次带看 / 30天以前发布,
195万,单价16526元/平米,南北对流 楼层好 视野宽阔 采光充足,荷景花园一区 , | 4室2厅 | 118平米 | 东南 | 精装 | 无电梯,中楼层(共7层)1995年建塔楼  -  ,2136人关注 / 共2次带看 / 3个月以前发布,
218万,单价25842元/平米,东华花园 满五年南向小三房 诚意出售,东华花园 , | 3室2厅 | 84.36平米 | 南 | 精装 | 无电梯,高楼层(共6层)2004年建板楼  -  ,64人关注 / 共25次带看 / 27天以前发布,
158万,单价27009元/平米,祈福新村青怡居 2室2厅 158万,祈福新村青怡居 , | 2室2厅 | 58.5平米 | 北 | 精装 | 无电梯,高楼层(共5层)1995年建板楼  -  ,7人关注 / 共10次带看 / 26天以前发布,
270万,单价29703元/平米,花样年华一期    高层三房   精装修,番禺海伦堡花样年华一期 , | 3室2厅 | 90.9平米 | 西北 | 简装 | 有电梯,中楼层(共19层)2005年建塔楼  -  ,587人关注 / 共5次带看 / 3个月以前发布,
142万,单价19120元/平米,小区环境好，中间楼层，两房改的小三房。,星海园 , | 3室1厅 | 74.27平米 | 南 | 简装 | 无电梯,中楼层(共7层)1999年建塔楼  -  ,1601人关注 / 共23次带看 / 3个月以前发布,
135万,单价18313元/平米,小区3房精装修格局方正实用，低楼层，通风采光好,东涌路东风大街 , | 3室1厅 | 73.72平米 | 南 | 精装 | 无电梯,中楼层(共8层)塔楼  -  ,781人关注 / 共41次带看 / 4个月以前发布,
285万,单价29008元/平米,锦官城 高层三房诚售,雅居乐锦官城雍容南台 , | 3室2厅 | 98.25平米 | 东北 | 毛坯 | 有电梯,高楼层(共15层)2011年建塔楼  -  ,48人关注 / 共0次带看 / 6个月以前发布,
147万,单价15965元/平米,三房 框架结构 房子可以公积金贷款 单价低,光明南路光南街 , | 3室1厅 | 92.08平米 | 南 | 简装 | 无电梯,中楼层(共7层)1990年建塔楼  -  ,60人关注 / 共2次带看 / 2个月以前发布,
168万,单价19835元/平米,西秀园 精装修保养新净 方正三房,西秀园 , | 3室1厅 | 84.7平米 | 东南 | 精装 | 无电梯,中楼层(共7层)1993年建塔楼  -  ,132人关注 / 共20次带看 / 1个月以前发布,
290万,单价38667元/平米,东海花园 望花园两房 地铁3号线,東海花園 , | 2室2厅 | 75平米 | 南 | 简装 | 有电梯,低楼层(共19层)2003年建塔楼  -  ,169人关注 / 共0次带看 / 一年前发布,
200万,单价23558元/平米,朗陶居 简装三室两厅 格局方正,朗陶居 , | 3室2厅 | 84.9平米 | 北 | 简装 | 无电梯,中楼层(共6层)2001年建塔楼  -  ,30人关注 / 共9次带看 / 2个月以前发布,
1190万,单价38080元/平米,广州星河湾荟心园 4室2厅 1190万,广州星河湾荟心园 , | 4室2厅 | 312.5平米 | 南 北 | 精装 | 有电梯,高楼层(共9层)2001年建塔楼  -  ,0人关注 / 共0次带看 / 8天以前发布,
249万,单价21920元/平米,东华花园 顶楼 户型方正 满五年唯一,东华花园 , | 4室2厅 | 113.6平米 | 北 | 简装 | 无电梯,高楼层(共7层)2004年建塔楼  -  ,8人关注 / 共1次带看 / 5天以前发布,
